Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B
2801	GOLGA2	84460	ZMAT1
64098	PARVG	285622	NBPF22P
6607	SMN2	6607	SMN2
6607	SMN2	51160	VPS28
1856	DVL2	7525	YES1
3846	KRTAP5-9	7301	TYRO3
9189	ZBED1	23028	KDM1A
11043	MID2	285753	CEP57L1
11043	MID2	342132	ZNF774
11043	MID2	80705	TSGA10
9747	FAM115A	11043	MID2
1329	COX5B	11043	MID2
11043	MID2	80726	KIAA1683
1641	DCX	11043	MID2
9144	SYNGR2	51435	SCARA3
29883	CNOT7	51435	SCARA3
2801	GOLGA2	8065	CUL5
8065	CUL5	9616	RNF7
8434	RECK	140691	TRIM69
3846	KRTAP5-9	54778	RNF111
1457	CSNK2A1	54778	RNF111
6498	SKIL	51160	VPS28
9852	EPM2AIP1	57820	CCNB1IP1
9852	EPM2AIP1	79078	C1orf50
5563	PRKAA2	84456	L3MBTL3
1912	PHC2	84456	L3MBTL3
4004	LMO1	6660	SOX5
6660	SOX5	10865	ARID5A
10241	CALCOCO2	153657	TTC23L
8881	CDC16	246184	CDC26
10458	BAIAP2	148223	C19orf25
23636	NUP62	79635	CCDC121
54550	NECAB2	79635	CCDC121
5501	PPP1CC	153743	PPP1R2P3
5987	TRIM27	221184	CPNE2
5987	TRIM27	170954	PPP1R18
3608	ILF2	5987	TRIM27
5987	TRIM27	7286	TUFT1
5987	TRIM27	55324	ABCF3
5987	TRIM27	79025	C20orf195
2495	FTH1	2512	FTL
705	BYSL	114932	MRFAP1L1
114932	MRFAP1L1	375341	C3orf62
55234	SMU1	114932	MRFAP1L1
5682	PSMA1	114932	MRFAP1L1
10933	MORF4L1	114932	MRFAP1L1
5296	PIK3R2	114932	MRFAP1L1
114932	MRFAP1L1	120379	PIH1D2
8099	CDK2AP1	114932	MRFAP1L1
5877	RABIF	83593	RASSF5
3937	LCP2	9513	FXR2
3937	LCP2	9402	GRAP2
4005	LMO2	4670	HNRNPM
4005	LMO2	10589	DRAP1
4005	LMO2	22924	MAPRE3
1912	PHC2	4005	LMO2
6477	SIAH1	22827	PUF60
5998	RGS3	26003	GORASP2
79666	PLEKHF2	374355	C10orf96
9618	TRAF4	55138	FAM90A1
10241	CALCOCO2	55138	FAM90A1
10447	FAM3C	10488	CREB3
4105	MAGEA6	145282	MIPOL1
2274	FHL2	7690	ZNF131
3801	KIFC3	6605	SMARCE1
3801	KIFC3	5563	PRKAA2
3801	KIFC3	54955	C1orf109
10640	EXOC5	30000	TNPO2
10640	EXOC5	26098	C10orf137
10488	CREB3	55281	TMEM140
6258	RXRG	10062	NR1H3
9502	XAGE2	116113	FOXP4
10488	CREB3	133022	TRAM1L1
7297	TYK2	202559	KHDRBS2
7186	TRAF2	57506	MAVS
53615	MBD3	57459	GATAD2B
8266	UBL4A	9618	TRAF4
8500	PPFIA1	285782	CAGE1
8887	TAX1BP1	23132	RAD54L2
79666	PLEKHF2	120534	C11orf46
2801	GOLGA2	116442	RAB39B
7301	TYRO3	10318	TNIP1
79876	UBA5	339047	LOC339047
6938	TCF12	124790	HEXIM2
6938	TCF12	117581	TWIST2
6500	SKP1	26273	FBXO3
23636	NUP62	55145	THAP1
10482	NXF1	23636	NUP62
2170	FABP3	23636	NUP62
23636	NUP62	51668	HSPB11
23636	NUP62	53371	NUP54
23636	NUP62	51019	CCDC53
23214	XPO6	23636	NUP62
8473	OGT	23636	NUP62
2553	GABPB1	4004	LMO1
113878	DTX2	121274	ZNF641
8545	CGGBP1	79666	PLEKHF2
4188	MDFI	7766	ZNF223
9513	FXR2	9883	POM121
23051	ZHX3	51701	NLK
1196	CLK2	1198	CLK3
5565	PRKAB2	51608	GET4
5565	PRKAB2	80125	CCDC33
5565	PRKAB2	7186	TRAF2
5929	RBBP5	9070	ASH2L
2483	FRG1	11030	RBPMS
9465	AKAP7	79959	CEP76
4281	MID1	4281	MID1
4281	MID1	7325	UBE2E2
3329	HSPD1	84445	LZTS2
22893	BAHD1	84445	LZTS2
84445	LZTS2	116225	ZMYND19
7918	GPANK1	84445	LZTS2
84445	LZTS2	84988	PPP1R16A
3219	HOXB9	84445	LZTS2
9643	MORF4L2	93621	MRFAP1
2949	GSTM5	2949	GSTM5
892	CCNC	7566	ZNF18
9802	DAZAP2	27246	RNF115
5862	RAB2A	57559	STAMBPL1
6605	SMARCE1	80254	CEP63
6342	SCP2	9319	TRIP13
6342	SCP2	10488	CREB3
55012	PPP2R3C	80125	CCDC33
6449	SGTA	79089	TMUB2
83988	NCALD	113878	DTX2
8601	RGS20	117144	CATSPER1
8601	RGS20	114971	PTPMT1
4144	MAT2A	27430	MAT2B
9482	STX8	10490	VTI1B
147700	KLC3	285753	CEP57L1
51160	VPS28	285753	CEP57L1
55165	CEP55	285753	CEP57L1
373	TRIM23	7329	UBE2I
373	TRIM23	1329	COX5B
10106	CTDSP2	83461	CDCA3
6810	STX4	79901	CYBRD1
4665	NAB2	4739	NEDD9
4665	NAB2	116225	ZMYND19
8649	LAMTOR3	28956	LAMTOR2
1936	EEF1D	80325	ABTB1
7185	TRAF1	10362	HMG20B
7185	TRAF1	57639	CCDC146
7185	TRAF1	7189	TRAF6
7185	TRAF1	58500	ZNF250
2801	GOLGA2	51164	DCTN4
23281	MTUS2	51164	DCTN4
54793	KCTD9	54793	KCTD9
11060	WWP2	11100	HNRNPUL1
6293	VPS52	9589	WTAP
6293	VPS52	51160	VPS28
7391	USF1	79666	PLEKHF2
5684	PSMA3	5687	PSMA6
10488	CREB3	135154	C6orf57
71	ACTG1	71	ACTG1
60	ACTB	71	ACTG1
10488	CREB3	51006	SLC35C2
9802	DAZAP2	64744	SMAP2
4733	DRG1	55854	ZC3H15
147700	KLC3	147700	KLC3
11030	RBPMS	23132	RAD54L2
2275	FHL3	10966	RAB40B
124790	HEXIM2	124790	HEXIM2
63978	PRDM14	124790	HEXIM2
58500	ZNF250	124790	HEXIM2
6926	TBX3	79666	PLEKHF2
2773	GNAI3	63940	GPSM3
7102	TSPAN7	10488	CREB3
4105	MAGEA6	10190	TXNDC9
1912	PHC2	4733	DRG1
5805	PTS	5805	PTS
6449	SGTA	23208	SYT11
10435	CDC42EP2	23092	ARHGAP26
7857	SCG2	29979	UBQLN1
54927	CHCHD3	64396	GMCL1P1
2577	GAGE5	64396	GMCL1P1
64395	GMCL1	64396	GMCL1P1
26748	GAGE12I	64396	GMCL1P1
6628	SNRPB	26039	SS18L1
54472	TOLLIP	54959	ODAM
6628	SNRPB	11340	EXOSC8
11340	EXOSC8	56915	EXOSC5
5684	PSMA3	201181	ZNF385C
51019	CCDC53	115106	HAUS1
23636	NUP62	115106	HAUS1
29979	UBQLN1	155465	AGR3
10431	LOC10431	10488	CREB3
10318	TNIP1	81926	FAM108A1
4105	MAGEA6	91647	ATPAF2
26036	ZNF451	55007	FAM118A
8878	SQSTM1	11345	GABARAPL2
29979	UBQLN1	118471	PRAP1
29979	UBQLN1	60626	RIC8A
3535	IGL@	29979	UBQLN1
56477	CCL28	414301	DDI1
4801	NFYB	56655	POLE4
6449	SGTA	55739	CARKD
2275	FHL3	51298	THEG
1487	CTBP1	140688	C20orf112
7170	TPM3	121457	IKBIP
64581	CLEC7A	163183	C19orf46
896	CCND3	1021	CDK6
63978	PRDM14	79666	PLEKHF2
9025	RNF8	10687	PNMA2
10687	PNMA2	84080	C16orf48
10687	PNMA2	147687	ZNF417
4615	MYD88	4615	MYD88
4342	MOS	9454	HOMER3
5062	PAK2	10174	SORBS3
9802	DAZAP2	53347	UBASH3A
11117	EMILIN1	66036	MTMR9
10142	AKAP9	84970	C1orf94
6449	SGTA	150771	ITPRIPL1
7329	UBE2I	284252	KCTD1
10488	CREB3	56894	AGPAT3
4675	NAP1L3	222389	BEND7
11030	RBPMS	146664	MGAT5B
10048	RANBP9	55770	EXOC2
22929	SEPHS1	22929	SEPHS1
9189	ZBED1	54955	C1orf109
5584	PRKCI	50855	PARD6A
5990	RFX2	84970	C1orf94
63948	DMRTB1	84970	C1orf94
1032	CDKN2D	84970	C1orf94
79571	GCC1	84970	C1orf94
51686	OAZ3	113451	ADC
10539	GLRX3	57019	CIAPIN1
1912	PHC2	84078	KBTBD7
5914	RARA	6258	RXRG
7004	TEAD4	9659	PDE4DIP
5780	PTPN9	10488	CREB3
5780	PTPN9	57085	AGTRAP
4292	MLH1	55086	CXorf57
10488	CREB3	84975	MFSD5
6850	SYK	29761	USP25
2274	FHL2	5991	RFX3
5940	RBMY1A1	57693	ZNF317
4005	LMO2	10241	CALCOCO2
10241	CALCOCO2	167153	PAPD4
9063	PIAS2	391257	SUMO1P1
4188	MDFI	83538	TTC25
3437	IFIT3	7170	TPM3
7170	TPM3	29911	HOOK2
10488	CREB3	375035	SFT2D2
2801	GOLGA2	25959	KANK2
2801	GOLGA2	10758	TRAF3IP2
2071	ERCC3	2801	GOLGA2
2801	GOLGA2	284058	KANSL1
902	CCNH	2801	GOLGA2
2801	GOLGA2	84934	C12orf52
2801	GOLGA2	6941	TCF19
2801	GOLGA2	9690	UBE3C
2801	GOLGA2	3707	ITPKB
2801	GOLGA2	23650	TRIM29
1641	DCX	2801	GOLGA2
2801	GOLGA2	23219	FBXO28
2801	GOLGA2	148581	UBE2U
2801	GOLGA2	81629	TSSK3
665	BNIP3L	64581	CLEC7A
645455	CEP170P1	645455	CEP170P1
90060	CCDC120	645455	CEP170P1
4188	MDFI	50717	DCAF8
55145	THAP1	201181	ZNF385C
4188	MDFI	92906	HNRPLL
55086	CXorf57	79666	PLEKHF2
64786	TBC1D15	80254	CEP63
5987	TRIM27	60491	NIF3L1
5987	TRIM27	8930	MBD4
89882	TPD52L3	116173	CMTM5
3104	ZBTB48	90933	TRIM41
7718	ZNF165	55663	ZNF446
6449	SGTA	6782	HSPA13
57088	PLSCR4	81926	FAM108A1
9404	LPXN	57088	PLSCR4
8862	APLN	57088	PLSCR4
11030	RBPMS	166863	RBM46
4688	NCF2	22920	KIFAP3
80321	CEP70	114822	RHPN1
3200	HOXA3	10483	SEC23B
329	BIRC2	80705	TSGA10
79088	ZNF426	80705	TSGA10
10488	CREB3	54708	MARCH5
4292	MLH1	220082	SPERT
79596	RNF219	170082	TCEANC
26228	STAP1	30011	SH3KBP1
55145	THAP1	55145	THAP1
55145	THAP1	121536	AEBP2
51603	METTL13	55145	THAP1
55093	WDYHV1	55145	THAP1
11275	KLHL2	59349	KLHL12
11275	KLHL2	51060	TXNDC12
10488	CREB3	57515	SERINC1
80817	CEP44	147687	ZNF417
80817	CEP44	164592	CCDC116
7188	TRAF5	9111	NMI
9111	NMI	22932	POMZP3
9111	NMI	10302	SNAPC5
4188	MDFI	7050	TGIF1
1488	CTBP2	7050	TGIF1
29959	NRBP1	81628	TSC22D4
5300	PIN1	81628	TSC22D4
6455	SH3GL1	55211	DPPA4
6455	SH3GL1	27238	GPKOW
55916	NXT2	56000	NXF3
10488	CREB3	51107	APH1A
9457	FHL5	80256	FAM214B
9413	FAM189A2	10254	STAM2
4950	OCLN	89885	FATE1
56478	EIF4ENIF1	113878	DTX2
10488	CREB3	23471	TRAM1
3190	HNRNPK	159163	RBMY1F
56658	TRIM39	56658	TRIM39
54797	MED18	56658	TRIM39
7321	UBE2D1	56658	TRIM39
23001	WDFY3	56658	TRIM39
23281	MTUS2	90594	ZNF439
8851	CDK5R1	23281	MTUS2
55211	DPPA4	79666	PLEKHF2
329	BIRC2	7286	TUFT1
329	BIRC2	152926	PPM1K
9189	ZBED1	10597	TRAPPC2P1
9470	EIF4E2	91544	UBXN11
84080	C16orf48	91544	UBXN11
1856	DVL2	64396	GMCL1P1
362	AQP5	10488	CREB3
9823	ARMCX2	84528	RHOXF2
211	ALAS1	142679	DUSP19
8907	AP1M1	10900	RUNDC3A
8907	AP1M1	10807	SDCCAG3
54107	POLE3	54108	CHRAC1
4800	NFYA	84872	ZC3H10
7188	TRAF5	7189	TRAF6
7189	TRAF6	10758	TRAF3IP2
7189	TRAF6	79666	PLEKHF2
7186	TRAF2	7189	TRAF6
7984	ARHGEF5	80258	EFHC2
10488	CREB3	125875	CLDND2
54507	ADAMTSL4	256302	C17orf103
7126	TNFAIP1	253980	KCTD13
5276	SERPINI2	29979	UBQLN1
1329	COX5B	339834	CCDC36
25988	HINFP	339834	CCDC36
11100	HNRNPUL1	63948	DMRTB1
3839	KPNA3	10078	TSSC4
84970	C1orf94	154313	C6orf165
114928	GPRASP2	154313	C6orf165
23281	MTUS2	84775	ZNF607
6642	SNX1	23204	ARL6IP1
23204	ARL6IP1	80221	ACSF2
2874	GPS2	10928	RALBP1
8575	PRKRA	55646	LYAR
55646	LYAR	222389	BEND7
665	BNIP3L	665	BNIP3L
665	BNIP3L	56935	C11orf75
9817	KEAP1	10072	DPP3
2896	GRN	10539	GLRX3
23321	TRIM2	80131	LRRC8E
10422	UBAC1	23321	TRIM2
23281	MTUS2	83541	FAM110A
9445	ITM2B	10488	CREB3
80198	MUS81	84464	SLX4
54784	ALKBH4	113878	DTX2
23413	NCS1	113878	DTX2
7321	UBE2D1	113878	DTX2
7920	ABHD16A	113878	DTX2
27111	SDCBP2	55660	PRPF40A
6515	SLC2A3	10488	CREB3
10488	CREB3	55332	DRAM1
2577	GAGE5	64395	GMCL1
6820	SULT2B1	130540	ALS2CR12
7126	TNFAIP1	116225	ZMYND19
663	BNIP2	2444	FRK
7414	VCL	9404	LPXN
7965	AIMP2	79173	C19orf57
6672	SP100	23468	CBX5
23468	CBX5	54904	WHSC1L1
4783	NFIL3	51421	AMOTL2
8636	SSNA1	8636	SSNA1
1158	CKM	140462	ASB9
4188	MDFI	60370	AVPI1
9550	ATP6V1G1	90423	ATP6V1E2
10241	CALCOCO2	553115	PEF1
10241	CALCOCO2	11266	DUSP12
655	BMP7	23281	MTUS2
10488	CREB3	54946	SLC41A3
10488	CREB3	84620	ST6GAL2
26003	GORASP2	91703	ACY3
11094	CACFD1	57146	TMEM159
5530	PPP3CA	404550	C16orf74
6642	SNX1	92840	REEP6
5781	PTPN11	22934	RPIA
10488	CREB3	11070	TMEM115
10488	CREB3	113178	SCAMP4
1153	CIRBP	3190	HNRNPK
5892	RAD51D	51421	AMOTL2
10320	IKZF1	80256	FAM214B
10069	RWDD2B	10320	IKZF1
1856	DVL2	23623	RUSC1
1856	DVL2	10422	UBAC1
1856	DVL2	9531	BAG3
1856	DVL2	7454	WAS
407	ARR3	1856	DVL2
5478	PPIA	10443	N4BP2L2
9070	ASH2L	84661	DPY30
10197	PSME3	64798	DEPTOR
6871	TADA2A	10946	SF3A3
1838	DTNB	80254	CEP63
1838	DTNB	10152	ABI2
10488	CREB3	81539	SLC38A1
1123	CHN1	8440	NCK2
11199	ANXA10	80153	EDC3
10488	CREB3	84329	HVCN1
22827	PUF60	22827	PUF60
2801	GOLGA2	124220	ZG16B
4931	NVL	7329	UBE2I
7329	UBE2I	9111	NMI
875	CBS	875	CBS
10212	DDX39A	84324	SARNP
9747	FAM115A	10262	SF3B4
7205	TRIP6	9747	FAM115A
10797	MTHFD2	55577	NAGK
1602	DACH1	55577	NAGK
211	ALAS1	26073	POLDIP2
9618	TRAF4	11060	WWP2
11060	WWP2	92714	ARRDC1
10488	CREB3	55092	TMEM51
10488	CREB3	81855	SFXN3
900	CCNG1	10318	TNIP1
9391	CIAO1	51647	FAM96B
9618	TRAF4	80256	FAM214B
51324	SPG21	113878	DTX2
51324	SPG21	57085	AGTRAP
27018	NGFRAP1	164592	CCDC116
2275	FHL3	7965	AIMP2
9513	FXR2	54623	PAF1
9818	NUPL1	51225	ABI3
9818	NUPL1	23636	NUP62
10488	CREB3	55266	TMEM19
8440	NCK2	118788	PIK3AP1
27335	EIF3K	51386	EIF3L
9145	SYNGR1	10488	CREB3
7314	UBB	9802	DAZAP2
9500	MAGED1	9802	DAZAP2
9791	PTDSS1	10488	CREB3
2947	GSTM3	2947	GSTM3
1534	CYB561	10488	CREB3
7307	U2AF1	11338	U2AF2
516	ATP5G1	140691	TRIM69
7572	ZNF24	90933	TRIM41
191	AHCY	79078	C1orf50
6285	S100B	84830	ADTRP
6271	S100A1	6285	S100B
7157	TP53	25988	HINFP
439	ASNA1	51608	GET4
10488	CREB3	10695	CNPY3
5082	PDCL	5705	PSMC5
5050	PAFAH1B3	5050	PAFAH1B3
95	ACY1	95	ACY1
7356	SCGB1A1	22954	TRIM32
3434	IFIT1	3437	IFIT3
5432	POLR2C	54550	NECAB2
4841	NONO	4841	NONO
5276	SERPINI2	7917	BAG6
7205	TRIP6	129807	NEU4
3603	IL16	7205	TRIP6
10488	CREB3	10490	VTI1B
54974	THG1L	54974	THG1L
5252	PHF1	7024	TFCP2
6449	SGTA	50848	F11R
6449	SGTA	134288	TMEM174
2202	EFEMP1	6449	SGTA
23647	ARFIP2	57085	AGTRAP
10488	CREB3	50859	SPOCK3
896	CCND3	1019	CDK4
10197	PSME3	55840	EAF2
5354	PLP1	5798	PTPRN
5500	PPP1CB	84988	PPP1R16A
10488	CREB3	79152	FA2H
3866	KRT15	112869	CCDC101
10016	PDCD6	553115	PEF1
10488	CREB3	79157	MFSD11
27111	SDCBP2	84285	EIF1AD
10488	CREB3	51090	PLLP
10488	CREB3	79161	C7orf23
79169	C1orf35	246329	STAC3
931	MS4A1	10488	CREB3
10195	ALG3	10488	CREB3
10488	CREB3	51128	SAR1B
10488	CREB3	51024	FIS1
25900	IFFO1	84260	TCHP
7205	TRIP6	64745	METTL17
3726	JUNB	10538	BATF
3185	HNRNPF	80125	CCDC33
10112	KIF20A	80256	FAM214B
55906	ZC4H2	58500	ZNF250
84285	EIF1AD	222389	BEND7
26994	RNF11	51619	UBE2D4
4110	MAGEA11	55621	TRMT1
10488	CREB3	56063	TMEM234
6015	RING1	7703	PCGF2
10318	TNIP1	29965	C16orf5
5300	PIN1	23635	SSBP2
5682	PSMA1	22924	MAPRE3
5682	PSMA1	60490	PPCDC
10488	CREB3	79001	VKORC1
7456	WIPF1	9454	HOMER3
5715	PSMD9	56658	TRIM39
5706	PSMC6	5715	PSMD9
862	RUNX1T1	9454	HOMER3
862	RUNX1T1	9404	LPXN
293	SLC25A6	23281	MTUS2
5598	MAPK7	63940	GPSM3
347	APOD	10488	CREB3
26748	GAGE12I	64395	GMCL1
705	BYSL	1912	PHC2
3183	HNRNPC	3183	HNRNPC
3183	HNRNPC	55285	RBM41
7341	SUMO1	25788	RAD54B
51160	VPS28	79720	VPS37B
10488	CREB3	79415	C17orf62
79415	C17orf62	90993	CREB3L1
79036	KXD1	201255	LRRC45
3927	LASP1	9319	TRIP13
9319	TRIP13	64778	FNDC3B
410	ARSA	9319	TRIP13
744	MPPED2	9319	TRIP13
54550	NECAB2	84708	LNX1
54550	NECAB2	83878	USHBP1
311	ANXA11	2130	EWSR1
6642	SNX1	116173	CMTM5
5571	PRKAG1	8666	EIF3G
7004	TEAD4	55165	CEP55
10488	CREB3	51703	ACSL5
2030	SLC29A1	10488	CREB3
3732	CD82	10488	CREB3
9025	RNF8	84283	TMEM79
26751	SH3YL1	79720	VPS37B
6602	SMARCD1	79720	VPS37B
1912	PHC2	84080	C16orf48
6687	SPG7	23281	MTUS2
11266	DUSP12	28227	PPP2R3B
7780	SLC30A2	10488	CREB3
2139	EYA2	6495	SIX1
527	ATP6V0C	4188	MDFI
5092	PCBD1	5092	PCBD1
5092	PCBD1	9513	FXR2
22934	RPIA	26003	GORASP2
26003	GORASP2	79656	BEND5
26003	GORASP2	64518	TEKT3
7454	WAS	51225	ABI3
84305	WIBG	84816	RTN4IP1
10488	CREB3	84277	DNAJC30
2275	FHL3	26505	CNNM3
468	ATF4	8945	BTRC
2706	GJB2	10488	CREB3
10513	APPBP2	84795	PYROXD2
4188	MDFI	7695	ZNF136
7695	ZNF136	23281	MTUS2
55663	ZNF446	84307	ZNF397
5479	PPIB	54557	SGTB
8939	FUBP3	9444	QKI
4188	MDFI	114971	PTPMT1
4188	MDFI	129807	NEU4
4188	MDFI	9139	CBFA2T2
4188	MDFI	23001	WDFY3
9524	TECR	10488	CREB3
10494	STK25	11235	PDCD10
8562	DENR	28985	MCTS1
7571	ZNF23	10539	GLRX3
5013	OTX1	8601	RGS20
5013	OTX1	10253	SPRY2
3887	KRT81	5013	OTX1
5013	OTX1	54507	ADAMTSL4
1876	E2F6	7029	TFDP2
10488	CREB3	10948	STARD3
2275	FHL3	5552	SRGN
2275	FHL3	7297	TYK2
2275	FHL3	4793	NFKBIB
9456	HOMER1	79098	C1orf116
2801	GOLGA2	29087	THYN1
902	CCNH	10534	SSSCA1
10488	CREB3	29058	TMEM230
3612	IMPA1	3612	IMPA1
336	APOA2	10488	CREB3
8061	FOSL1	29922	NME7
10488	CREB3	84830	ADTRP
29911	HOOK2	84934	C12orf52
29911	HOOK2	92999	ZBTB47
10488	CREB3	55850	USE1
6652	SORD	6652	SORD
24144	TFIP11	147687	ZNF417
24144	TFIP11	54474	KRT20
3162	HMOX1	10488	CREB3
2079	ERH	54906	FAM208B
9500	MAGED1	10342	TFG
29907	SNX15	57142	RTN4
2274	FHL2	56243	KIAA1217
6009	RHEB	10488	CREB3
598	BCL2L1	10488	CREB3
6921	TCEB1	6923	TCEB2
1072	CFL1	1073	CFL2
60	ACTB	60	ACTB
22827	PUF60	80306	MED28
5276	SERPINI2	54557	SGTB
10133	OPTN	10318	TNIP1
6472	SHMT2	10488	CREB3
6810	STX4	10228	STX6
55034	MOCOS	55742	PARVA
9873	FCHSD2	23281	MTUS2
8050	PDHX	57085	AGTRAP
54971	BANP	92399	MRRF
1066	CES1	10488	CREB3
1186	CLCN7	10488	CREB3
113675	SDSL	113675	SDSL
10488	CREB3	51522	TMEM14C
51776	ZAK	163081	ZNF567
10488	CREB3	64755	C16orf58
10488	CREB3	10488	CREB3
2224	FDPS	10488	CREB3
10488	CREB3	79669	C3orf52
10488	CREB3	91663	MYADM
6890	TAP1	10488	CREB3
10385	BTN2A2	10488	CREB3
10488	CREB3	84065	TMEM222
10488	CREB3	25972	UNC50
10100	TSPAN2	10488	CREB3
10488	CREB3	83460	TMEM93
664	BNIP3	10488	CREB3
4818	NKG7	10488	CREB3
10488	CREB3	79844	ZDHHC11
7920	ABHD16A	10488	CREB3
10488	CREB3	192683	SCAMP5
8760	CDS2	10488	CREB3
10488	CREB3	10990	LILRB5
5407	PNLIPRP1	10488	CREB3
10488	CREB3	200185	KRTCAP2
10488	CREB3	55716	LMBR1L
10488	CREB3	23480	SEC61G
10488	CREB3	116173	CMTM5
10488	CREB3	60343	FAM3A
10488	CREB3	22845	DOLK
51043	ZBTB7B	92856	IMP4
10589	DRAP1	79666	PLEKHF2
6880	TAF9	10589	DRAP1
211	ALAS1	9168	TMSB10
64853	AIDA	79666	PLEKHF2
55037	PTCD3	79444	BIRC7
80221	ACSF2	116173	CMTM5
7775	ZNF232	60490	PPCDC
2801	GOLGA2	245973	ATP6V1C2
8405	SPOP	79571	GCC1
7186	TRAF2	92610	TIFA
55840	EAF2	222389	BEND7
2801	GOLGA2	23283	CSTF2T
2801	GOLGA2	9814	SFI1
9111	NMI	9111	NMI
11047	ADRM1	51377	UCHL5
5701	PSMC2	5711	PSMD5
64802	NMNAT1	64802	NMNAT1
660	BMX	6774	STAT3
7186	TRAF2	79025	C20orf195
10979	FERMT2	116173	CMTM5
392	ARHGAP1	57085	AGTRAP
64798	DEPTOR	90933	TRIM41
1106	CHD2	90933	TRIM41
23281	MTUS2	127703	C1orf216
5530	PPP3CA	5534	PPP3R1
80125	CCDC33	220108	FAM124A
5780	PTPN9	116173	CMTM5
23281	MTUS2	164592	CCDC116
7186	TRAF2	55758	RCOR3
1912	PHC2	6477	SIAH1
29785	CYP2S1	54507	ADAMTSL4
23582	CCNDBP1	84619	ZGPAT
23582	CCNDBP1	90594	ZNF439
6158	RPL28	23582	CCNDBP1
23582	CCNDBP1	56906	THAP10
496	ATP4B	23582	CCNDBP1
63920	C5orf54	151194	METTL21A
7341	SUMO1	22806	IKZF3
5565	PRKAB2	22806	IKZF3
22806	IKZF3	91647	ATPAF2
22806	IKZF3	23641	LDOC1
22806	IKZF3	55110	MAGOHB
22806	IKZF3	51765	MST4
2815	GP9	3198	HOXA1
84619	ZGPAT	117178	SSX2IP
23503	ZFYVE26	117178	SSX2IP
55536	CDCA7L	84619	ZGPAT
84619	ZGPAT	285753	CEP57L1
84619	ZGPAT	339834	CCDC36
10615	SPAG5	84619	ZGPAT
4899	NRF1	57125	PLXDC1
9871	SEC24D	11060	WWP2
84991	RBM17	222484	LNX2
222484	LNX2	253827	MSRB3
506	ATP5B	222484	LNX2
8503	PIK3R3	222484	LNX2
80131	LRRC8E	222484	LNX2
5607	MAP2K5	222484	LNX2
51540	SCLY	222484	LNX2
55037	PTCD3	222484	LNX2
79016	DDA1	222484	LNX2
80007	C10orf88	222484	LNX2
1411	CRYBA1	1414	CRYBB1
8974	P4HA2	10488	CREB3
9702	CEP57	10928	RALBP1
9702	CEP57	266740	MAGEA2B
9240	PNMA1	29979	UBQLN1
6687	SPG7	9240	PNMA1
9240	PNMA1	84108	PCGF6
8796	SCEL	9111	NMI
6303	SAT1	84991	RBM17
1488	CTBP2	10320	IKZF1
6867	TACC1	51072	MEMO1
